,0,val_loss
37,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 10, 'act_fn': 'relu', 'learning_rate': 0.1502573598728975}"
38,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 1424, 'act_fn': 'relu', 'learning_rate': 0.5726447507099467}"
39,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 2441, 'act_fn': 'relu', 'learning_rate': 0.5298669670266531}"
40,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 3416, 'act_fn': 'relu', 'learning_rate': 0.48060313552283185}"
41,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 113, 'act_fn': 'relu', 'learning_rate': 0.7781989509868285}"
42,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 395, 'act_fn': 'relu', 'learning_rate': 0.5982835707981933}"
43,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 5836, 'act_fn': 'relu', 'learning_rate': 0.34674537339400024}"
44,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 924, 'act_fn': 'relu', 'learning_rate': 0.5758537620026277}"
45,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 3188, 'act_fn': 'relu', 'learning_rate': 0.7247233152052331}"
46,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 625, 'act_fn': 'relu', 'learning_rate': 0.2825829265059854}"
47,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 2172, 'act_fn': 'relu', 'learning_rate': 0.9006885855760056}"
48,1.6999985331860896,"{'nlayers': 1, 'nodes_in_layer1': 5052, 'act_fn': 'relu', 'learning_rate': 0.025549389779326165}"
49,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 5586, 'act_fn': 'relu', 'learning_rate': 0.39374038705089964}"
50,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 1428, 'act_fn': 'relu', 'learning_rate': 0.21420173981445534}"
51,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 555, 'act_fn': 'relu', 'learning_rate': 0.6066428307886202}"
52,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 3691, 'act_fn': 'relu', 'learning_rate': 0.06504625017496277}"
53,1.7000000000000002,"{'nlayers': 1, 'nodes_in_layer1': 3675, 'act_fn': 'relu', 'learning_rate': 0.7072604866968133}"
