,0,val_loss
35,4.4,"{'nlayers': 4, 'nodes_in_layer1': 728, 'nodes_in_layer2': 288, 'nodes_in_layer3': 104, 'nodes_in_layer4': 107, 'act_fn': 'relu', 'learning_rate': 0.16652288604685844}"
36,3.9896229206001292,"{'nlayers': 4, 'nodes_in_layer1': 479, 'nodes_in_layer2': 297, 'nodes_in_layer3': 43, 'nodes_in_layer4': 56, 'act_fn': 'relu', 'learning_rate': 0.014004025355790494}"
37,3.5957597726680435,"{'nlayers': 1, 'nodes_in_layer1': 46, 'act_fn': 'sigmoid', 'learning_rate': 8.352425946260255e-05}"
38,1.6981405611023008,"{'nlayers': 1, 'nodes_in_layer1': 215, 'act_fn': 'relu', 'learning_rate': 0.020638357442955467}"
39,3.485385117700594,"{'nlayers': 1, 'nodes_in_layer1': 379, 'act_fn': 'tanh', 'learning_rate': 0.0012785970847854387}"
40,4.595298665352229,"{'nlayers': 3, 'nodes_in_layer1': 305, 'nodes_in_layer2': 609, 'nodes_in_layer3': 313, 'act_fn': 'sigmoid', 'learning_rate': 0.00017766019863913707}"
41,1.963650297637479,"{'nlayers': 2, 'nodes_in_layer1': 80, 'nodes_in_layer2': 75, 'act_fn': 'relu', 'learning_rate': 0.002275865955560312}"
42,6.293882400914414,"{'nlayers': 4, 'nodes_in_layer1': 286, 'nodes_in_layer2': 504, 'nodes_in_layer3': 183, 'nodes_in_layer4': 237, 'act_fn': 'sigmoid', 'learning_rate': 0.0004219761859388402}"
43,4.5,"{'nlayers': 3, 'nodes_in_layer1': 85, 'nodes_in_layer2': 35, 'nodes_in_layer3': 300, 'act_fn': 'tanh', 'learning_rate': 0.24088961683887233}"
44,6.300000000000001,"{'nlayers': 4, 'nodes_in_layer1': 765, 'nodes_in_layer2': 116, 'nodes_in_layer3': 34, 'nodes_in_layer4': 802, 'act_fn': 'sigmoid', 'learning_rate': 0.30110444529631575}"
45,6.194402349777635,"{'nlayers': 4, 'nodes_in_layer1': 617, 'nodes_in_layer2': 89, 'nodes_in_layer3': 122, 'nodes_in_layer4': 613, 'act_fn': 'tanh', 'learning_rate': 0.00033887425275578795}"
46,4.25961432872543,"{'nlayers': 3, 'nodes_in_layer1': 824, 'nodes_in_layer2': 358, 'nodes_in_layer3': 231, 'act_fn': 'tanh', 'learning_rate': 0.01506549032888732}"
